"","lang.topic","tweets","users","avg","p","d","q","ar1","ar2","ar3","ar4","ma1","ma2","ma3","ma4"
"1","Topic 0 - English",3281452,167043,19.6443550463054,1,1,0,0.495583379931051,NA,NA,NA,NA,NA,NA,NA
"2","Topic 1 - English",2589327,74233,34.8810771489769,1,1,4,-0.571066456191478,NA,NA,NA,1.09996283311688,0.252369996324559,0.0710894125211915,0.375962847883454
"3","Topic 2 - English",1460254,25007,58.3938097332747,2,1,3,-0.147707586130539,0.804754673094576,NA,NA,0.788887578235517,-0.745365075444371,-0.718218305406009,NA
"4","Topic 3 - English",759622,10539,72.0772369294999,0,1,4,NA,NA,NA,NA,0.45854184255567,-0.196405015041436,0.243716726515578,0.800596664895371
"5","Topic 4 - English",381872,3866,98.7770305225039,2,1,2,-1.16591544461744,-0.278956749213909,NA,NA,1.78898090648845,0.978753437235772,NA,NA
"6","Topic 5 - English",175535,3208,54.7178927680798,2,1,1,-0.455610077281191,0.496103251163657,NA,NA,0.862253828138103,NA,NA,NA
"7","Topic 6 - English",86193,2474,34.8395311236863,0,1,5,NA,NA,NA,NA,0.116644317820629,0.535080202207126,0.428264806257271,0.206270790671928
"8","Spanish",69461,8224,8.44613326848249,2,0,3,1.69588147104807,-0.797992080338024,NA,NA,-0.662252125437957,0.149329354297763,0.414097132014414,NA
"9","Topic 16 - English",49649,5232,9.4894877675841,1,0,4,0.827917955611029,NA,NA,NA,0.357905124792028,-0.199130605268154,0.427560841357522,0.764854556944649
"10","Topic 7 - English",33605,2736,12.2825292397661,1,1,4,0.421571856874199,NA,NA,NA,-0.190817725693216,0.178064482580482,0.269553522513554,0.484676958692347
"11","Topic 8 - English",24140,4603,5.24440582228981,0,1,1,NA,NA,NA,NA,0.343699369046306,NA,NA,NA
"12","Japanese",22409,2196,10.2044626593807,0,1,4,NA,NA,NA,NA,0.60031451648125,-0.0278030811886869,0.463280963969893,0.744890032658255
"13","Portuguese",17869,1673,10.6808129109384,0,1,4,NA,NA,NA,NA,0.162388006714181,-0.180970807860501,0.677900274819134,0.383235367730328
"14","Topic 12 - English",12321,5912,2.08406630581867,1,1,0,0.526840043122159,NA,NA,NA,NA,NA,NA,NA
"15","French",10459,1184,8.83361486486486,3,0,1,0.580046640005006,0.890821319662139,-0.640275871512859,NA,0.903536822994921,NA,NA,NA
"16","Topic 19 - English",8417,5829,1.44398696174301,2,0,0,1.3155476188273,-0.386714469912525,NA,NA,NA,NA,NA,NA
"17","Topic 17 - English",7785,5013,1.55296229802513,3,0,0,1.24076444531618,-0.0572589521491442,-0.29612794561375,NA,NA,NA,NA,NA
"18","Topic 9 - English",7465,3928,1.9004582484725,1,1,0,0.316538988776677,NA,NA,NA,NA,NA,NA,NA
"19","Topic 15 - English",6709,4267,1.57229903913757,1,1,0,0.290278818422198,NA,NA,NA,NA,NA,NA,NA
"20","Arabic",6159,426,14.4577464788732,3,0,1,0.657543317714175,0.848201587246735,-0.64223002571279,NA,0.858287905786504,NA,NA,NA
